review_text,sentiment
One of the best bike rentals Iâ€™ve had. The return process made it even better.,positive
"Fast, friendly, and fun. The support staff was impressive!",positive
A decent ride but not the best seat comfort.,neutral
Everything from the booking to the ride was flawless. Loved the mobile app.,positive
One of the best bike rentals Iâ€™ve had. The pricing made it even better.,positive
Bikes were in terrible condition. The return process was a nightmare.,negative
"The bikes were decent, but the pricing was just okay.",neutral
Long wait times and the bike condition was awful.,negative
Worst experience ever. The battery life ruined the entire ride.,negative
Too expensive for such poor quality return process.,negative
Standard rental process. The availability was acceptable.,neutral
Absolutely loved the bike condition! The experience was fantastic.,positive
Had a wonderful ride through beach roads. The bikes were excellent.,positive
"It was fine, but I wouldnâ€™t rave about the battery life.",neutral
An average experience. The mobile app worked as expected.,neutral
Long wait times and the return process was awful.,negative
"The entire process was easy, and the rental station was high quality.",positive
"Nothing went smoothly, especially the customer service.",negative
Nothing extraordinary. The rental station was functional.,neutral
A typical rental experience with a decent support staff.,neutral
Everything from the booking to the ride was flawless. Loved the support staff.,positive
An average experience. The rental station worked as expected.,neutral
Top-notch service with great mobile app.,positive
"The entire process was easy, and the seat comfort was high quality.",positive
"It was fine, but I wouldnâ€™t rave about the bike condition.",neutral
Horrible experience. The availability needs to be replaced immediately.,negative
An average experience. The bike condition worked as expected.,neutral
A typical rental experience with a decent return process.,neutral
"The bikes were decent, but the battery life was just okay.",neutral
Not worth the money. The pricing was a major letdown.,negative
Absolutely loved the pricing! The experience was fantastic.,positive
Not worth the money. The support staff was a major letdown.,negative
"Frustrating process, and the return process was not working properly.",negative
Superb experience renting bikes. The customer service was outstanding.,positive
"The entire process was easy, and the return process was high quality.",positive
Too expensive for such poor quality rental station.,negative
Bikes were in terrible condition. The battery life was a nightmare.,negative
One of the best bike rentals Iâ€™ve had. The bike condition made it even better.,positive
Not worth the money. The availability was a major letdown.,negative
Not worth the money. The customer service was a major letdown.,negative
One of the best bike rentals Iâ€™ve had. The battery life made it even better.,positive
Everything from the booking to the ride was flawless. Loved the seat comfort.,positive
Horrible experience. The rental station needs to be replaced immediately.,negative
A typical rental experience with a decent availability.,neutral
Top-notch service with great customer service.,positive
"Nothing went smoothly, especially the pricing.",negative
"Everything was fine, but the pricing could be improved.",neutral
"Everything was fine, but the battery life could be improved.",neutral
"Nothing to complain about, but the return process wasnâ€™t great either.",neutral
Extremely poor service. The mobile app needs urgent improvement.,negative
"Fast, friendly, and fun. The pricing was impressive!",positive
"The return process was well-maintained, and the rental was smooth.",positive
The bike condition was a disaster. Very disappointed.,negative
Top-notch service with great battery life.,positive
"The bikes were decent, but the bike condition was just okay.",neutral
Bikes were in terrible condition. The mobile app was a nightmare.,negative
"The entire process was easy, and the pricing was high quality.",positive
"Nothing to complain about, but the pricing wasnâ€™t great either.",neutral
Too expensive for such poor quality pricing.,negative
Bikes were in terrible condition. The seat comfort was a nightmare.,negative
Top-notch service with great rental station.,positive
Horrible experience. The seat comfort needs to be replaced immediately.,negative
"Nothing to complain about, but the battery life wasnâ€™t great either.",neutral
A decent ride but not the best return process.,neutral
"It was fine, but I wouldnâ€™t rave about the mobile app.",neutral
"Frustrating process, and the mobile app was not working properly.",negative
An average experience. The seat comfort worked as expected.,neutral
Bikes were in terrible condition. The rental station was a nightmare.,negative
Standard rental process. The bike condition was acceptable.,neutral
Long wait times and the rental station was awful.,negative
"The support staff was well-maintained, and the rental was smooth.",positive
Not worth the money. The battery life was a major letdown.,negative
"Frustrating process, and the bike condition was not working properly.",negative
The seat comfort was okay. Nothing special.,neutral
Superb experience renting bikes. The mobile app was outstanding.,positive
A decent ride but not the best pricing.,neutral
"Fast, friendly, and fun. The customer service was impressive!",positive
Extremely poor service. The bike condition needs urgent improvement.,negative
"It was fine, but I wouldnâ€™t rave about the customer service.",neutral
"Fast, friendly, and fun. The seat comfort was impressive!",positive
Extremely poor service. The battery life needs urgent improvement.,negative
An average experience. The support staff worked as expected.,neutral
"The entire process was easy, and the bike condition was high quality.",positive
"The availability was well-maintained, and the rental was smooth.",positive
Too expensive for such poor quality seat comfort.,negative
Not worth the money. The rental station was a major letdown.,negative
"A seamless process, and the battery life was perfect.",positive
Bikes were in terrible condition. The pricing was a nightmare.,negative
Long wait times and the battery life was awful.,negative
Long wait times and the availability was awful.,negative
Worst experience ever. The rental station ruined the entire ride.,negative
Everything from the booking to the ride was flawless. Loved the availability.,positive
Standard rental process. The rental station was acceptable.,neutral
"The bikes were decent, but the mobile app was just okay.",neutral
Absolutely loved the customer service! The experience was fantastic.,positive
A decent ride but not the best mobile app.,neutral
One of the best bike rentals Iâ€™ve had. The support staff made it even better.,positive
Too expensive for such poor quality customer service.,negative
Horrible experience. The battery life needs to be replaced immediately.,negative
Nothing extraordinary. The mobile app was functional.,neutral
Nothing extraordinary. The battery life was functional.,neutral
"Frustrating process, and the pricing was not working properly.",negative
"The battery life was well-maintained, and the rental was smooth.",positive
Standard rental process. The return process was acceptable.,neutral
"Frustrating process, and the battery life was not working properly.",negative
Superb experience renting bikes. The return process was outstanding.,positive
A typical rental experience with a decent rental station.,neutral
"Nothing went smoothly, especially the availability.",negative
Horrible experience. The return process needs to be replaced immediately.,negative
"A seamless process, and the customer service was perfect.",positive
"The pricing was well-maintained, and the rental was smooth.",positive
Not worth the money. The bike condition was a major letdown.,negative
Had a wonderful ride through the lakeside. The bikes were excellent.,positive
The support staff was okay. Nothing special.,neutral
Horrible experience. The customer service needs to be replaced immediately.,negative
One of the best bike rentals Iâ€™ve had. The availability made it even better.,positive
"Frustrating process, and the seat comfort was not working properly.",negative
Extremely poor service. The seat comfort needs urgent improvement.,negative
Top-notch service with great seat comfort.,positive
Top-notch service with great availability.,positive
"The rental station was well-maintained, and the rental was smooth.",positive
Extremely poor service. The availability needs urgent improvement.,negative
Nothing extraordinary. The customer service was functional.,neutral
A typical rental experience with a decent battery life.,neutral
"Nothing to complain about, but the bike condition wasnâ€™t great either.",neutral
Had a wonderful ride through the mountains. The bikes were excellent.,positive
"Nothing to complain about, but the seat comfort wasnâ€™t great either.",neutral
Standard rental process. The battery life was acceptable.,neutral
Worst experience ever. The support staff ruined the entire ride.,negative
Absolutely loved the mobile app! The experience was fantastic.,positive
Everything from the booking to the ride was flawless. Loved the pricing.,positive
The availability was a disaster. Very disappointed.,negative
"The entire process was easy, and the support staff was high quality.",positive
"The customer service was well-maintained, and the rental was smooth.",positive
Bikes were in terrible condition. The customer service was a nightmare.,negative
The mobile app was okay. Nothing special.,neutral
Bikes were in terrible condition. The bike condition was a nightmare.,negative
Extremely poor service. The support staff needs urgent improvement.,negative
"Everything was fine, but the rental station could be improved.",neutral
A decent ride but not the best battery life.,neutral
"Nothing went smoothly, especially the support staff.",negative
"Frustrating process, and the availability was not working properly.",negative
"Nothing went smoothly, especially the battery life.",negative
"Fast, friendly, and fun. The bike condition was impressive!",positive
"Everything was fine, but the return process could be improved.",neutral
Long wait times and the mobile app was awful.,negative
Nothing extraordinary. The pricing was functional.,neutral
Horrible experience. The pricing needs to be replaced immediately.,negative
"A seamless process, and the pricing was perfect.",positive
Absolutely loved the support staff! The experience was fantastic.,positive
Superb experience renting bikes. The seat comfort was outstanding.,positive
"Nothing went smoothly, especially the seat comfort.",negative
A decent ride but not the best support staff.,neutral
Superb experience renting bikes. The support staff was outstanding.,positive
Long wait times and the seat comfort was awful.,negative
Top-notch service with great support staff.,positive
A typical rental experience with a decent seat comfort.,neutral
Had a wonderful ride through the countryside. The bikes were excellent.,positive
"Fast, friendly, and fun. The battery life was impressive!",positive
"A seamless process, and the seat comfort was perfect.",positive
"The bikes were decent, but the support staff was just okay.",neutral
Nothing extraordinary. The seat comfort was functional.,neutral
Everything from the booking to the ride was flawless. Loved the return process.,positive
The mobile app was a disaster. Very disappointed.,negative
A decent ride but not the best bike condition.,neutral
Had a wonderful ride through Central Park. The bikes were excellent.,positive
"It was fine, but I wouldnâ€™t rave about the pricing.",neutral
Horrible experience. The mobile app needs to be replaced immediately.,negative
Had a wonderful ride through Downtown. The bikes were excellent.,positive
The seat comfort was a disaster. Very disappointed.,negative
Worst experience ever. The customer service ruined the entire ride.,negative
The pricing was okay. Nothing special.,neutral
Superb experience renting bikes. The battery life was outstanding.,positive
"It was fine, but I wouldnâ€™t rave about the seat comfort.",neutral
An average experience. The battery life worked as expected.,neutral
Standard rental process. The support staff was acceptable.,neutral
Top-notch service with great bike condition.,positive
"Everything was fine, but the mobile app could be improved.",neutral
Bikes were in terrible condition. The availability was a nightmare.,negative
Had a wonderful ride through Times Square. The bikes were excellent.,positive
"Frustrating process, and the support staff was not working properly.",negative
Too expensive for such poor quality battery life.,negative
Absolutely loved the return process! The experience was fantastic.,positive
The rental station was okay. Nothing special.,neutral
Worst experience ever. The availability ruined the entire ride.,negative
Horrible experience. The bike condition needs to be replaced immediately.,negative
"Everything was fine, but the support staff could be improved.",neutral
Everything from the booking to the ride was flawless. Loved the customer service.,positive
Worst experience ever. The seat comfort ruined the entire ride.,negative
Superb experience renting bikes. The availability was outstanding.,positive
"The seat comfort was well-maintained, and the rental was smooth.",positive
Extremely poor service. The pricing needs urgent improvement.,negative
"The bike condition was well-maintained, and the rental was smooth.",positive
The support staff was a disaster. Very disappointed.,negative
One of the best bike rentals Iâ€™ve had. The rental station made it even better.,positive
Nothing extraordinary. The availability was functional.,neutral
Superb experience renting bikes. The rental station was outstanding.,positive
Everything from the booking to the ride was flawless. Loved the bike condition.,positive
A typical rental experience with a decent pricing.,neutral
Too expensive for such poor quality availability.,negative
"Fast, friendly, and fun. The availability was impressive!",positive
Superb experience renting bikes. The pricing was outstanding.,positive
A typical rental experience with a decent customer service.,neutral
"It was fine, but I wouldnâ€™t rave about the rental station.",neutral
"Nothing went smoothly, especially the bike condition.",negative
"Nothing went smoothly, especially the mobile app.",negative
"Frustrating process, and the customer service was not working properly.",negative
"The bikes were decent, but the rental station was just okay.",neutral
"The bikes were decent, but the customer service was just okay.",neutral
Nothing extraordinary. The return process was functional.,neutral
The rental station was a disaster. Very disappointed.,negative
"The entire process was easy, and the customer service was high quality.",positive
The bike condition was okay. Nothing special.,neutral
One of the best bike rentals Iâ€™ve had. The seat comfort made it even better.,positive
The battery life was okay. Nothing special.,neutral
"Nothing went smoothly, especially the rental station.",negative
Long wait times and the support staff was awful.,negative
A decent ride but not the best availability.,neutral
Extremely poor service. The return process needs urgent improvement.,negative
Nothing extraordinary. The support staff was functional.,neutral
The return process was okay. Nothing special.,neutral
"A seamless process, and the rental station was perfect.",positive
Worst experience ever. The mobile app ruined the entire ride.,negative
Absolutely loved the seat comfort! The experience was fantastic.,positive
"The entire process was easy, and the battery life was high quality.",positive
"A seamless process, and the support staff was perfect.",positive
"It was fine, but I wouldnâ€™t rave about the availability.",neutral
Absolutely loved the rental station! The experience was fantastic.,positive
A typical rental experience with a decent mobile app.,neutral
Standard rental process. The customer service was acceptable.,neutral
Everything from the booking to the ride was flawless. Loved the battery life.,positive
"Everything was fine, but the bike condition could be improved.",neutral
"Fast, friendly, and fun. The rental station was impressive!",positive
"Nothing to complain about, but the customer service wasnâ€™t great either.",neutral
"Nothing to complain about, but the availability wasnâ€™t great either.",neutral
Too expensive for such poor quality bike condition.,negative
"Nothing to complain about, but the rental station wasnâ€™t great either.",neutral
Absolutely loved the battery life! The experience was fantastic.,positive
An average experience. The customer service worked as expected.,neutral
The return process was a disaster. Very disappointed.,negative
Long wait times and the pricing was awful.,negative
A decent ride but not the best rental station.,neutral
"The bikes were decent, but the availability was just okay.",neutral
"Fast, friendly, and fun. The mobile app was impressive!",positive
"Everything was fine, but the availability could be improved.",neutral
Not worth the money. The mobile app was a major letdown.,negative
Had a wonderful ride through the city center. The bikes were excellent.,positive
Worst experience ever. The bike condition ruined the entire ride.,negative
The availability was okay. Nothing special.,neutral
Nothing extraordinary. The bike condition was functional.,neutral
"Nothing to complain about, but the mobile app wasnâ€™t great either.",neutral
"The mobile app was well-maintained, and the rental was smooth.",positive
Too expensive for such poor quality support staff.,negative
"The entire process was easy, and the mobile app was high quality.",positive
The kiosk was down and support (Riley) wasn’t helpful.,negative
Check?in took 10 minutes and the kids' bike had badly adjusted seat…,negative
Picked up on Wednesday evening and everything was ready  with a mirror. Great value and friendly service.,positive
The payment screen froze and support (Kendall) wasn’t helpful.,negative
Unexpected charges at pickup; felt poor overall!,negative
Booking was stress?free —the hybrid bike rode great on the lakeside path.,positive
Rental was ordinary; got a e?bike for 45 minutes.,neutral
Picked up on Sunday afternoon and everything was ready. Great value and friendly service!!,positive
Kiosk printer was out of order; no receipts available!,negative
The QR code wouldn’t scan and support (Jordan) wasn’t helpful!,negative
Rental was predictable; got a hybrid bike for three hours.,neutral
Maps were accurate and the route suggestions matched my pace —I’ll be back.,positive
Really enjoyed the kids' bike for most of the day; staff (Hayden) was super helpful!!,positive
Loved the tandem bike for the afternoon; staff (Blake) was super helpful.,positive
Rental was ordinary; got a kids' bike for all morning.,neutral
Rental was typical; got a e?bike for an hour.,neutral
Helmet and phone mount included; small details made a big difference.,positive
Really enjoyed the tandem bike for three hours; staff (Elliot) was super helpful!!,positive
Booking was fantastic on the canal path.,positive
Rental was average; got a gravel bike for 2 hours.,neutral
Check?in took half an hour and the cargo bike had slipping chain.,negative
Booking was well organized on the city park  in humid weather!,positive
Rental was standard; got a e?bike for half a day.,neutral
Reservation didn’t match what we received—requested a gravel bike but got something else!,negative
Loved the e?bike for 30 minutes; team (Avery) was super helpful!!,positive
Booking was excellent —the e?bike rode great on the boardwalk  in chilly weather!,positive
Rental was plain; got a mountain bike for 2 hours.,neutral
Rental was fine; got a hybrid bike for 90 minutes.,neutral
Return process was chaotic and the line barely moved.,negative
Booking was excellent —the tandem bike rode great on the city park  in mild weather!!,positive
Loved the road bike for three hours; staff (Sam) was super helpful!,positive
Rental was typical; got a gravel bike for three hours.,neutral
Booking was fantastic on the boardwalk!!,positive
Check?in took 5 minutes and the mountain bike had wobbly wheel…,negative
Rental was ordinary; got a tandem bike for 45 minutes.,neutral
Loved the city cruiser for three hours; team (Elliot) was super helpful!!,positive
Rental was typical; got a mountain bike for 45 minutes.,neutral
Booking was seamless —the folding bike rode great on the old town.,positive
Rental was adequate; got a tandem bike for 30 minutes.,neutral
Loved the city cruiser for three hours; staff (Hayden) was super helpful!,positive
Picked up on Friday night and everything was ready  with a basket. Great value and friendly service!,positive
Loved the folding bike for most of the day; staff (Reese) was super helpful!,positive
The app kept crashing and support (Rowan) wasn’t helpful!,negative
Booking was super convenient on the greenway.,positive
Booking was top?notch —the road bike rode great on the university district  in sunny weather!,positive
Check?in took 10 minutes and the kids' bike had squeaky gears.,negative
Booking was super convenient —the road bike rode great on the city park!,positive
Check?in took 5 minutes and the kids' bike had badly adjusted seat!,negative
Booking was well organized on the lakeside path  in overcast weather!!,positive
Picked up on Tuesday afternoon and everything was ready  with a rear rack. Great value and friendly service!!,positive
The kiosk was down and support (Logan) wasn’t helpful…,negative
Booking was smooth on the greenway  in sunny weather!!,positive
The payment screen froze and support (Jordan) wasn’t helpful.,negative
Loved the mountain bike for 90 minutes; team (Elliot) was super helpful.,positive
Check?in took almost an hour and the mountain bike had sticky shifter…,negative
The app kept crashing and support (Quinn) wasn’t helpful!,negative
Check?in took 20 minutes and the mountain bike had soft brakes…,negative
Really enjoyed the cargo bike for the afternoon; staff (Casey) was super helpful.,positive
Really enjoyed the road bike for 45 minutes; staff (Sydney) was super helpful!!,positive
Maps were accurate and the route suggestions matched my pace.,positive
Loved the city cruiser for the afternoon; team (Tatum) was super helpful.,positive
Unexpected charges at pickup; felt overpriced overall!,negative
Rental was adequate; got a cargo bike for 45 minutes.,neutral
Picked up on Friday night and everything was ready  with a phone mount. Great value and friendly service!!,positive
Check?in took almost an hour and the city cruiser had soft brakes.,negative
Rental was typical; got a gravel bike for an hour.,neutral
Too pricey for the quality; wouldn’t recommend.,negative
Rental was basic; got a tandem bike for 30 minutes.,neutral
Rental was plain; got a mountain bike for an hour.,neutral
The QR code wouldn’t scan and support (Reese) wasn’t helpful!,negative
Rental was average; got a city cruiser for 90 minutes.,neutral
Check?in took 10 minutes and the e?bike had flat tire!,negative
Picked up on Thursday at lunch and everything was ready  with a phone mount. Great value and friendly service!,positive
The app kept crashing and support (Elliot) wasn’t helpful!,negative
Booking was smooth —the folding bike rode great on the university district  in overcast weather!!,positive
Loved the folding bike for most of the day; team (Reese) was super helpful!,positive
Check?in took half an hour and the mountain bike had wobbly wheel.,negative
Check?in took 15 minutes and the kids' bike had misaligned handlebars…,negative
Returned the bikes early and they refunded the difference promptly!!,positive
Check?in took 15 minutes and the cargo bike had battery cutting out!,negative
Rental was basic; got a folding bike for 2 hours.,neutral
Picked up on Monday morning and everything was ready  with a basket. Great value and friendly service!,positive
Bike felt poorly maintained: squeaky gears; cut our ride short!,negative
Rental was predictable; got a city cruiser for three hours.,neutral
Price felt high and the ride was as expected.,neutral
Check?in took 5 minutes and the tandem bike had wobbly wheel!,negative
Booking was fantastic —the road bike rode great on the greenway  in chilly weather!,positive
Booking was excellent on the university district  in overcast weather.,positive
Rental was typical; got a folding bike for three hours.,neutral
Rental was typical; got a hybrid bike for 90 minutes.,neutral
Rental was typical; got a hybrid bike for 2 hours.,neutral
Picked up on Monday morning and everything was ready  with a mirror. Great value and friendly service!!,positive
Rental was adequate; got a cargo bike for all morning.,neutral
Rental was ordinary; got a hybrid bike for 90 minutes.,neutral
The payment screen froze and support (Rowan) wasn’t helpful!,negative
Rental was basic; got a cargo bike for 2 hours.,neutral
Check?in took 5 minutes and the gravel bike had battery cutting out…,negative
The website timed out and support (Riley) wasn’t helpful!,negative
Booking was stress?free —the mountain bike rode great on the river trail  in drizzly weather!!,positive
Rental was average; got a kids' bike for 45 minutes.,neutral
Rental was average; got a folding bike for 30 minutes.,neutral
Picked up on Friday night and everything was ready  with a puncture kit. Great value and friendly service.,positive
The kiosk was down and support (Hayden) wasn’t helpful.,negative
Rental was ordinary; got a hybrid bike for an hour.,neutral
Picked up near the canal path; bikes matched the listing.,neutral
Booking was easy —the mountain bike rode great on the greenway!!,positive
Rental was straightforward; got a tandem bike for 45 minutes.,neutral
Check?in took 15 minutes and the kids' bike had slipping chain!,negative
Rental was standard; got a gravel bike for an hour.,neutral
Check?in took 20 minutes and the city cruiser had wobbly wheel!,negative
Rental was average; got a folding bike for half a day.,neutral
Picked up on Sunday afternoon and everything was ready  with a mirror. Great value and friendly service.,positive
Loved the e?bike for three hours; team (Sage) was super helpful!!,positive
Rental was ordinary; got a cargo bike for all morning.,neutral
Check?in took 20 minutes and the folding bike had misaligned handlebars!,negative
Rental was basic; got a kids' bike for 45 minutes.,neutral
Picked up on Sunday afternoon and everything was ready  with a helmet. Great value and friendly service!,positive
The payment screen froze and support (Rowan) wasn’t helpful.,negative
Rental was adequate; got a gravel bike for 45 minutes.,neutral
Rental was typical; got a tandem bike for 90 minutes.,neutral
Rental was adequate; got a e?bike for an hour.,neutral
Maps were outdated and sent us off route near the botanical garden path…,negative
Rental was typical; got a cargo bike for 45 minutes.,neutral
Rental was plain; got a folding bike for all morning.,neutral
Rental was average; got a road bike for all morning.,neutral
Really enjoyed the tandem bike for an hour; team (Rory) was super helpful!,positive
Rental was adequate; got a kids' bike for 30 minutes.,neutral
Loved the gravel bike for 2 hours; team (Kendall) was super helpful.,positive
Check?in took 10 minutes and the road bike had loose pedal!,negative
Check?in took 5 minutes and the city cruiser had flat tire!,negative
Process was straightforward; nothing stood out good or bad.,neutral
Booking was top?notch on the canal path.,positive
Really enjoyed the cargo bike for three hours; team (Harper) was super helpful.,positive
Hidden fees at pickup; felt confusing overall.,negative
Rental was average; got a kids' bike for 2 hours.,neutral
Check?in took 15 minutes and the cargo bike had soft brakes…,negative
The QR code wouldn’t scan and support (Reese) wasn’t helpful…,negative
Rental was basic; got a hybrid bike for 2 hours.,neutral
Rental was predictable; got a hybrid bike for all morning.,neutral
Returned the bikes early and they refunded the difference without me asking.,positive
Check?in took 10 minutes and the tandem bike had squeaky gears!,negative
Booking was super convenient on the river trail  in humid weather!,positive
Rental was straightforward; got a gravel bike for 30 minutes.,neutral
Unexpected charges at pickup; felt confusing overall!,negative
Rental was ordinary; got a folding bike for an hour.,neutral
Rental was adequate; got a city cruiser for 2 hours.,neutral
Booking was excellent on the botanical garden path  in mild weather!!,positive
Rental was fine; got a tandem bike for most of the day.,neutral
Booking was stress?free on the city park!,positive
Hidden fees at pickup; felt poor overall…,negative
The reservation didn’t sync and support (Dakota) wasn’t helpful…,negative
Maps were outdated and sent us off route near the canal path.,negative
Hidden fees at pickup; felt frustrating overall…,negative
Check?in took 5 minutes and the e?bike had battery cutting out!,negative
Check?in took 15 minutes and the folding bike had wobbly wheel!,negative
Booking was top?notch on the botanical garden path.,positive
Rental was plain; got a hybrid bike for most of the day.,neutral
The reservation didn’t sync and support (Parker) wasn’t helpful.,negative
Rental was basic; got a kids' bike for three hours.,neutral
Booking was stress?free —the road bike rode great on the university district!,positive
Picked up on Thursday at lunch and everything was ready  with a bell. Great value and friendly service!!,positive
The QR code wouldn’t scan and support (Hayden) wasn’t helpful…,negative
Check?in took 10 minutes and the kids' bike had sticky shifter!,negative
Store opened late on Friday; wasted time waiting around…,negative
The website timed out and support (Harper) wasn’t helpful.,negative
Really enjoyed the city cruiser for 30 minutes; team (Elliot) was super helpful!!,positive
Rental was predictable; got a mountain bike for the afternoon.,neutral
Rental was adequate; got a e?bike for half a day.,neutral
Picked up on Saturday morning and everything was ready  with a lights. Great value and friendly service!!,positive
Reservation didn’t match what we received—requested a kids' bike but got something else…,negative
Rental was adequate; got a folding bike for most of the day.,neutral
Picked up on Monday morning and everything was ready  with a bell. Great value and friendly service!!,positive
Check?in took around 15 minutes and then we were on our way.,neutral
Check?in took 5 minutes and the folding bike had squeaky gears!,negative
Booking was super convenient on the canal path!!,positive
Rental was average; got a tandem bike for the afternoon.,neutral
Check?in took almost an hour and the kids' bike had misaligned handlebars…,negative
Check?in took 5 minutes and the hybrid bike had wobbly wheel…,negative
The payment screen froze and support (Harper) wasn’t helpful.,negative
The reservation didn’t sync and support (Tatum) wasn’t helpful…,negative
Check?in took 15 minutes and the mountain bike had wobbly wheel!,negative
Check?in took 20 minutes and the tandem bike had loose pedal.,negative
Decent option if you need wheels for a short stretch.,neutral
Check?in took 5 minutes and the mountain bike had squeaky gears.,negative
The app kept crashing and support (Cameron) wasn’t helpful!,negative
Really enjoyed the folding bike for half a day; staff (Alex) was super helpful!,positive
Rental was plain; got a tandem bike for 45 minutes.,neutral
Rental was adequate; got a kids' bike for three hours.,neutral
Check?in took 10 minutes and the mountain bike had flat tire.,negative
Picked up on Monday morning and everything was ready  with a basket. Great value and friendly service.,positive
Rental was average; got a city cruiser for the afternoon.,neutral
Check?in took almost an hour and the hybrid bike had wobbly wheel!,negative
Rental was plain; got a road bike for an hour.,neutral
Rental was typical; got a road bike for an hour.,neutral
Booking was excellent on the downtown loop  in breezy weather.,positive
Store opened late on Saturday; wasted time waiting around.,negative
Booking was easy on the river trail  in humid weather!,positive
Rental was standard; got a road bike for the afternoon.,neutral
The website timed out and support (Avery) wasn’t helpful.,negative
Bike felt poorly maintained: flat tire; cut our ride short!,negative
Rental was fine; got a kids' bike for most of the day.,neutral
Store opened late on Thursday; wasted time waiting around.,negative
Check?in took 10 minutes and the city cruiser had slipping chain!,negative
Rental was typical; got a folding bike for an hour.,neutral
Really enjoyed the folding bike for 2 hours; team (Sydney) was super helpful!!,positive
Check?in took 5 minutes and the e?bike had soft brakes!,negative
Rental was standard; got a tandem bike for 30 minutes.,neutral
Booking was super convenient on the greenway  in sunny weather.,positive
The QR code wouldn’t scan and support (Dakota) wasn’t helpful!,negative
Picked up on late evening and everything was ready  with a rear rack. Great value and friendly service!,positive
Bike felt poorly maintained: battery cutting out; cut our ride short!,negative
Check?in took 10 minutes and the tandem bike had squeaky gears…,negative
Maps were outdated and sent us off route near the city park!,negative
Loved the kids' bike for an hour; team (Sage) was super helpful!,positive
Bike quality was excellent and check?in took about half an hour (heads?up).,positive
Loved the mountain bike for an hour; team (Jordan) was super helpful!,positive
Check?in took almost an hour and the road bike had wobbly wheel.,negative
The payment screen froze and support (Elliot) wasn’t helpful!,negative
The kiosk was down and support (Rory) wasn’t helpful.,negative
Rental was fine; got a tandem bike for 90 minutes.,neutral
Rental was adequate; got a mountain bike for 2 hours.,neutral
Rental was straightforward; got a gravel bike for an hour.,neutral
Loved the road bike for most of the day; team (Casey) was super helpful.,positive
Really enjoyed the kids' bike for three hours; team (Dakota) was super helpful.,positive
Rental was adequate; got a city cruiser for three hours.,neutral
Loved the e?bike for the afternoon; staff (Finley) was super helpful!!,positive
Rental was predictable; got a e?bike for three hours.,neutral
Booking was excellent on the lakeside path  in breezy weather.,positive
Loved the tandem bike for all morning; staff (Rowan) was super helpful!,positive
Rental was predictable; got a folding bike for half a day.,neutral
Really enjoyed the city cruiser for an hour; staff (Cameron) was super helpful!!,positive
Really enjoyed the gravel bike for 45 minutes; team (Harper) was super helpful!!,positive
Rental was typical; got a tandem bike for 30 minutes.,neutral
The QR code wouldn’t scan and support (Rowan) wasn’t helpful!,negative
Picked up on Sunday afternoon and everything was ready  with a mirror. Great value and friendly service!,positive
Check?in took 5 minutes and the tandem bike had wobbly wheel…,negative
Rental was standard; got a gravel bike for 45 minutes.,neutral
Booking was stress?free —the cargo bike rode great on the boardwalk  in chilly weather!!,positive
The QR code wouldn’t scan and support (Parker) wasn’t helpful!,negative
Picked up on Friday night and everything was ready  with a rear rack. Great value and friendly service!,positive
Seat was uncomfortable the whole time; not renting again.,negative
